file	lt_0.188	lt_0.377	gt_0.377
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	53.89	81.14	18.85
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	53.98	80.80	19.20
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	56.79	84.64	15.36
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	44.91	76.01	23.98
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	71.79	93.53	6.46
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	72.27	92.30	7.70
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	58.82	86.28	13.71
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	80.73	96.98	3.01
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	69.27	92.73	7.26
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	73.32	94.26	5.74
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	83.20	97.36	2.63
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	89.13	98.07	1.92
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	87.31	98.28	1.71
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	75.95	94.28	5.71
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	51.28	80.43	19.56
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	47.27	75.30	24.69
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	53.12	84.40	15.60
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	51.97	82.60	17.39
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	55.91	85.93	14.06
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	56.49	87.34	12.65
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	72.93	95.29	4.70
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	73.55	95.66	4.33
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	56.95	86.27	13.72
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	64.20	93.81	6.18
mm10_intestine_embryo_d14.5_PE_bio1_ENCLB069VWJ_1	54.50	82.75	17.25
mm10_intestine_embryo_d14.5_PE_bio2_ENCLB325XDP_1	45.01	82.23	17.76
