bin_seq	mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	mm10_intestine_embryo_d14.5_PE_bio1_ENCLB069VWJ_1	mm10_intestine_embryo_d14.5_PE_bio2_ENCLB325XDP_1	mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	mm10_liver_embryo_d14.5_PE_bio1_ENCLB200ODB_1	mm10_liver_embryo_d14.5_PE_bio2_ENCLB555EYH_1	mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	mm10_lung_embryo_d14.5_PE_bio1_ENCLB517ADM_1	mm10_lung_embryo_d14.5_PE_bio2_ENCLB224FWZ_1	mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	mm10_stomach_embryo_d14.5_PE_bio1_ENCLB880WNY_1	mm10_stomach_embryo_d14.5_PE_bio2_ENCLB322JPD_1	mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1
1	0.941422594142	0.930648769575	0.945454545455	0.939313984169	0.942901234568	0.943065693431	0.942084942085	0.944584382872	0.934819897084	0.935198821797	0.938255033557	0.936754176611	0.93237704918	0.931506849315	0.936660268714	0.92	0.92341356674	0.935483870968	0.941176470588	0.93119266055	0.93729903537	0.946327683616	0.92723880597	0.942528735632	0.905444126074	0.919689119171	0.937753721245	0.929155313351	0.924784217016	0.927726675427	0.90780141844	0.893223819302	0.944444444444	0.933560477002	0.934285714286	0.912	0.825059101655	0.901408450704	0.757510729614	0.763496143959	0.778523489933	0.826879271071	0.942857142857	0.926315789474	0.930203045685	0.934624697337	0.921225382932	0.92	0.947457627119	0.938864628821	0.93781512605	0.93954248366	0.950930626058	0.948387096774	0.932849364791	0.950471698113	0.953445065177	0.936507936508	0.906504065041	0.924276169265	0.868378812199	0.923512747875
2	0.914225941423	0.919463087248	0.914545454545	0.918205804749	0.930555555556	0.916788321168	0.930501930502	0.91435768262	0.93653516295	0.920471281296	0.910067114094	0.908114558473	0.897540983607	0.895890410959	0.923224568138	0.914666666667	0.934354485777	0.924731182796	0.945533769063	0.938073394495	0.921221864952	0.909604519774	0.932835820896	0.915229885057	0.902578796562	0.911917098446	0.928281461434	0.925068119891	0.919852034525	0.913272010512	0.872340425532	0.864476386037	0.902298850575	0.914821124361	0.898571428571	0.904	0.763593380615	0.861502347418	0.751072961373	0.735218508997	0.748322147651	0.817767653759	0.891156462585	0.898245614035	0.893401015228	0.905569007264	0.907002188184	0.908571428571	0.920338983051	0.910480349345	0.931092436975	0.923202614379	0.908629441624	0.935483870968	0.927404718693	0.933962264151	0.938547486034	0.930158730159	0.906504065041	0.917594654788	0.84911717496	0.916430594901
3	0.872384937238	0.89485458613	0.896363636364	0.920844327177	0.87962962963	0.87299270073	0.918918918919	0.874055415617	0.898799313894	0.873343151694	0.887248322148	0.892601431981	0.884221311475	0.884931506849	0.904030710173	0.912	0.908096280088	0.929032258065	0.912854030501	0.938073394495	0.895498392283	0.89406779661	0.90671641791	0.900862068966	0.905444126074	0.930051813472	0.922868741543	0.911444141689	0.872996300863	0.873850197109	0.804964539007	0.82340862423	0.915708812261	0.899488926746	0.914285714286	0.898	0.739952718676	0.840375586854	0.740343347639	0.737789203085	0.724832214765	0.78132118451	0.887074829932	0.863157894737	0.861675126904	0.915254237288	0.887308533917	0.889142857143	0.88813559322	0.877729257642	0.867226890756	0.885620915033	0.908629441624	0.918279569892	0.892921960073	0.889150943396	0.901303538175	0.930158730159	0.90243902439	0.915367483296	0.757624398074	0.912181303116
4	0.89539748954	0.856823266219	0.88	0.90765171504	0.882716049383	0.842335766423	0.899613899614	0.848866498741	0.907375643225	0.871870397644	0.864429530201	0.847255369928	0.855532786885	0.865753424658	0.877159309021	0.890666666667	0.881838074398	0.901075268817	0.910675381264	0.894495412844	0.882636655949	0.887005649718	0.876865671642	0.900862068966	0.905444126074	0.930051813472	0.880920162382	0.877384196185	0.836004932182	0.833114323259	0.831560283688	0.776180698152	0.894636015326	0.913117546848	0.878571428571	0.868	0.754137115839	0.823943661972	0.708154506438	0.712082262211	0.755033557047	0.76993166287	0.855782312925	0.831578947368	0.828680203046	0.927360774818	0.853391684902	0.853714285714	0.871186440678	0.866812227074	0.872268907563	0.864379084967	0.890016920474	0.883870967742	0.909255898367	0.908018867925	0.899441340782	0.920634920635	0.918699186992	0.935412026726	0.76404494382	0.892351274788
5	0.855648535565	0.843400447427	0.82	0.88654353562	0.861111111111	0.845255474453	0.895752895753	0.814861460957	0.855917667238	0.842415316642	0.842953020134	0.815035799523	0.840163934426	0.843835616438	0.871401151631	0.853333333333	0.888402625821	0.866666666667	0.875816993464	0.892201834862	0.87459807074	0.879943502825	0.871268656716	0.879310344828	0.882521489971	0.919689119171	0.906630581867	0.882833787466	0.815043156597	0.795006570302	0.723404255319	0.749486652977	0.888888888889	0.880749574106	0.877142857143	0.864	0.713947990544	0.802816901408	0.695278969957	0.683804627249	0.788590604027	0.73576309795	0.804081632653	0.819298245614	0.774111675127	0.910411622276	0.815098468271	0.827428571429	0.825423728814	0.834061135371	0.853781512605	0.862745098039	0.881556683587	0.896774193548	0.858439201452	0.88679245283	0.893854748603	0.914285714286	0.89837398374	0.902004454343	0.709470304976	0.868271954674
6	0.822175732218	0.836689038031	0.867272727273	0.878627968338	0.83950617284	0.786861313869	0.880308880309	0.792191435768	0.85077186964	0.824742268041	0.795973154362	0.797136038186	0.790983606557	0.809589041096	0.831094049904	0.866666666667	0.842450765864	0.855913978495	0.901960784314	0.885321100917	0.871382636656	0.862994350282	0.871268656716	0.837643678161	0.914040114613	0.922279792746	0.855209742896	0.839237057221	0.737361282367	0.73455978975	0.741134751773	0.726899383984	0.883141762452	0.880749574106	0.868571428571	0.868	0.678486997636	0.755868544601	0.656652360515	0.670951156812	0.701342281879	0.73576309795	0.740136054422	0.836842105263	0.757614213198	0.900726392252	0.751641137856	0.770285714286	0.849152542373	0.853711790393	0.840336134454	0.828431372549	0.842639593909	0.85376344086	0.858439201452	0.893867924528	0.895716945996	0.939682539683	0.890243902439	0.899777282851	0.653290529695	0.847025495751
7	0.809623430962	0.845637583893	0.82	0.894459102902	0.797839506173	0.769343065693	0.837837837838	0.744332493703	0.825042881647	0.810014727541	0.774496644295	0.732696897375	0.727459016393	0.797260273973	0.815738963532	0.834666666667	0.849015317287	0.827956989247	0.854030501089	0.866972477064	0.837620578778	0.812146892655	0.841417910448	0.807471264368	0.885386819484	0.919689119171	0.811907983762	0.799727520436	0.707768187423	0.716162943495	0.709219858156	0.714579055441	0.867816091954	0.855195911414	0.832857142857	0.83	0.725768321513	0.781690140845	0.699570815451	0.694087403599	0.721476510067	0.694760820046	0.695238095238	0.728070175439	0.722081218274	0.878934624697	0.695842450766	0.736	0.808474576271	0.801310043668	0.835294117647	0.830065359477	0.824027072758	0.879569892473	0.851179673321	0.882075471698	0.888268156425	0.869841269841	0.861788617886	0.88864142539	0.672552166934	0.794617563739
8	0.797071129707	0.829977628635	0.76	0.878627968338	0.770061728395	0.751824817518	0.814671814672	0.69395465995	0.809605488851	0.762886597938	0.712751677852	0.6861575179	0.668032786885	0.745205479452	0.836852207294	0.810666666667	0.81181619256	0.812903225806	0.875816993464	0.860091743119	0.840836012862	0.776836158192	0.82276119403	0.811781609195	0.868194842407	0.844559585492	0.767253044655	0.743869209809	0.679408138101	0.672798948752	0.643617021277	0.640657084189	0.862068965517	0.838160136286	0.79	0.794	0.624113475177	0.74882629108	0.654506437768	0.640102827763	0.711409395973	0.722095671982	0.678911564626	0.729824561404	0.66116751269	0.859564164649	0.615973741794	0.661714285714	0.806779661017	0.831877729258	0.811764705882	0.815359477124	0.822335025381	0.855913978495	0.849364791289	0.865566037736	0.843575418994	0.885714285714	0.90243902439	0.875278396437	0.605136436597	0.801699716714
9	0.78870292887	0.782997762864	0.749090909091	0.870712401055	0.731481481481	0.677372262774	0.826254826255	0.654911838791	0.756432246998	0.673048600884	0.651006711409	0.609785202864	0.578893442623	0.672602739726	0.798464491363	0.834666666667	0.809628008753	0.821505376344	0.823529411765	0.834862385321	0.818327974277	0.765536723164	0.787313432836	0.777298850575	0.879656160458	0.90932642487	0.719891745602	0.713896457766	0.616522811344	0.624178712221	0.650709219858	0.661190965092	0.812260536398	0.821124361158	0.775714285714	0.81	0.617021276596	0.711267605634	0.656652360515	0.6735218509	0.728187919463	0.72437357631	0.602721088435	0.715789473684	0.600253807107	0.82808716707	0.562363238512	0.582857142857	0.81186440678	0.803493449782	0.781512605042	0.777777777778	0.807106598985	0.851612903226	0.825771324864	0.841981132075	0.852886405959	0.885714285714	0.869918699187	0.839643652561	0.598715890851	0.701133144476
10	0.797071129707	0.79418344519	0.756363636364	0.881266490765	0.694444444444	0.670072992701	0.787644787645	0.576826196474	0.763293310463	0.668630338733	0.612080536913	0.557279236277	0.510245901639	0.647945205479	0.746641074856	0.824	0.82056892779	0.817204301075	0.821350762527	0.848623853211	0.765273311897	0.679378531073	0.798507462687	0.698275862069	0.865329512894	0.875647668394	0.656292286874	0.66621253406	0.577065351418	0.582128777924	0.599290780142	0.630390143737	0.814176245211	0.771720613288	0.702857142857	0.766	0.645390070922	0.68779342723	0.639484978541	0.658097686375	0.714765100671	0.665148063781	0.548299319728	0.636842105263	0.607868020305	0.820823244552	0.498905908096	0.513142857143	0.749152542373	0.799126637555	0.761344537815	0.728758169935	0.824027072758	0.840860215054	0.811252268603	0.85141509434	0.832402234637	0.885714285714	0.841463414634	0.8285077951	0.54735152488	0.667138810198
