name	total_reads	promoter_number	reads_in_promoter_peak	enrichment_ratio
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	84533263	13761	9801357	11.500
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	54738259	11979	4126231	8.581
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	47921116	11933	4299813	10.257
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	73543723	13362	6731990	9.320
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	80049051	13943	10149546	12.383
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	75361184	12657	6111538	8.733
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	49404678	11899	3540831	8.180
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	74397580	12924	8679328	12.296
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	77393198	11731	10768839	16.160
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	68760704	13066	9847292	14.933
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	64798106	13291	5373381	8.513
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	80169462	13564	11262496	14.136
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	58071934	12474	5313226	9.969
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	78875250	13054	8416800	11.148
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	93540159	12793	6136840	6.977
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	63198749	12526	5831070	10.024
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	52101590	12914	3454149	6.971
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	56193388	13139	4583344	8.456
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	87008110	12080	6417052	8.317
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	74634352	12733	9215444	13.208
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	79576401	13864	9090176	11.221
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	66292384	13239	13535850	21.050
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	69056226	12846	7464352	11.468
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	82410616	13065	9378913	11.863
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	75928244	13671	8901666	11.689
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	56162604	13043	9366185	17.456
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	68602227	12673	7133507	11.185
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	59469286	13524	5915538	10.010
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	53610034	11482	6164979	13.651
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	56053554	12662	6524644	12.520
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	107752617	13148	11084823	10.669
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	74283686	12997	8572603	12.094
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	71489377	12792	6930603	10.313
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	71033291	12874	16951505	25.296
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	44867002	12355	4847467	11.929
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	74015577	12320	4554766	6.788
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	116511208	12816	8922232	8.156
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	50313373	12219	9290895	20.625
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	49837858	12578	5544069	12.054
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	64867173	13512	10433006	16.250
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	108997685	13351	10473885	9.821
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	57103147	12834	7704771	14.347
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	63587821	12729	5566711	9.362
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	59909330	12585	5536930	9.982
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	75902691	12634	5796633	8.239
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	73438450	12483	5269544	7.846
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	56859059	12773	7176875	13.448
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	73135366	12491	5453517	8.140
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	68804383	12946	7254074	11.113
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	64258995	12127	4146850	7.224
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	73684672	12551	5622965	8.301
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	58449714	12568	6324081	11.727
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	54247412	12908	7021559	13.642
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	67988247	12718	7413502	11.688
