file	total	written_reads	mapped	mapped_ratio	uniq_mapped	non_redundant_uniq_mapped	effect_ratio	fastqc_dup	after_align_dup	number_of_reads_under_peak	rup_ratio	sub10M_enrichment	coding_enrichment	bg_gt37_percentage
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	53521173	53366080	47920459	0.89	42735187	39036508	0.72	0.176	0.067	11281144	14.57	18.5	10.12	18.85
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	52841837	52714130	47369968	0.89	41950396	38019803	0.71	0.189	0.060	10672301	14.15	20.0	10.39	19.20
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	49568333	49448366	44228192	0.89	39892521	36815643	0.74	0.170	0.058	13524317	18.53	18.6	12.24	15.36
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	52179809	52029862	46657199	0.89	41671318	37906004	0.72	0.169	0.077	 8212790	10.92	18.7	 8.39	23.98
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	49691764	49581010	44034057	0.88	40023928	35677263	0.71	0.204	0.071	14761513	20.89	20.6	13.84	 6.46
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	51407232	51280415	46614963	0.90	42419895	38477527	0.74	0.195	0.065	17677104	23.20	19.5	14.41	 7.70
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	35924683	35840049	31278350	0.87	28655248	25635695	0.71	0.183	0.096	10291007	20.28	19.3	13.68	13.71
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	48416233	48321137	42882163	0.88	39664818	35559944	0.73	0.213	0.081	20366977	28.95	19.8	16.89	 3.01
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	43503968	43425475	37997816	0.87	34533848	30464371	0.70	0.217	0.081	12703567	21.06	21.1	14.22	 7.26
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	53935170	53843654	47256646	0.87	42699479	35958778	0.66	0.254	0.117	15555232	21.83	20.1	13.92	 5.74
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	43919645	43828576	38568058	0.87	35029567	29979800	0.68	0.254	0.092	16218649	27.34	21.8	17.59	 2.63
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	42278369	42205403	37619368	0.88	34684686	29484004	0.69	0.272	0.106	19521739	33.54	22.7	20.36	 1.92
