file	num_peaks_in_promoter	num_peaks_in_non-promoter	num_reads_in_promoter_peaks	num_reads_in_non-promoter_peaks
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	14478	33336	6176378	5104766
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	14144	30619	5610555	5061746
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	14673	40341	7372956	6151361
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	13733	24187	4825348	3387442
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	14745	50061	7589841	7171672
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	15236	53274	9267424	8409680
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	14200	37693	5899158	4391849
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	15585	63861	10532258	9834719
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	14511	43850	6721937	5981630
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	15214	52740	7949321	7605911
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	15167	59344	8200931	8017718
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	15652	68206	9988962	9532777
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	16262	81357	14411477	12120069
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	15522	57548	7475195	6742130
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	14683	37470	9517726	7991951
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	13440	24067	4402859	4105118
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	14155	31637	5803321	4734667
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	14226	32292	5978992	4891603
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	14242	31703	5861470	4584072
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	14039	29612	5615066	4099299
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	15208	47017	7716068	6116369
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	15510	55368	10004850	8221404
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	14689	38994	5918213	4660057
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	15930	53703	11180056	10565065
mm10_intestine_embryo_d14.5_PE_bio1_ENCLB069VWJ_1	14008	20910	3073528	2508989
mm10_intestine_embryo_d14.5_PE_bio2_ENCLB325XDP_1	14376	24301	4635021	3606465
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	16796	57167	10473244	9518566
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	16696	56742	9704632	9447853
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	17108	64089	10864908	12059233
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	16685	59508	9534773	10916103
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	14611	41858	6239857	7800022
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	13750	34979	4415262	6660032
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	15133	37085	4848035	4817963
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	15636	43070	5706201	5817817
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	16275	53778	6293699	6702374
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	15259	34779	3669433	3718154
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	13625	28730	4556928	5234558
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	13856	28793	6807611	7142108
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	13593	33073	11427127	11303685
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	12859	26100	6517358	7399667
mm10_liver_embryo_d14.5_PE_bio1_ENCLB200ODB_1	11468	18430	4653491	5322525
mm10_liver_embryo_d14.5_PE_bio2_ENCLB555EYH_1	13024	30907	16389071	13402783
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	15708	57801	18001130	15780797
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	14336	42671	9838083	9848638
mm10_lung_embryo_d14.5_PE_bio1_ENCLB517ADM_1	16512	62338	9364053	9452990
mm10_lung_embryo_d14.5_PE_bio2_ENCLB224FWZ_1	14016	27383	3485114	3271646
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	16996	74427	12071866	13335265
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	16923	70656	11166673	11790935
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	15356	43727	11830740	9207566
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	14359	31466	6502596	5656836
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	15274	44319	8953613	7336399
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	15270	46023	9118269	6979054
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	14747	44446	9776309	7047589
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	14345	32229	6882359	4580053
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	14806	40305	7864843	5750979
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	13867	28548	5114583	3792171
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	14716	39069	7597719	4341459
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	13080	18477	3723475	2529935
mm10_stomach_embryo_d14.5_PE_bio1_ENCLB880WNY_1	11992	12618	1424516	1788281
mm10_stomach_embryo_d14.5_PE_bio2_ENCLB322JPD_1	14812	30123	4098046	3525306
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	15709	46665	6606146	7888759
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	16416	54209	7190027	8430929
