name	rup_reads	rup	coverage	sub10M_peak_enrichment
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	1113309	0.1113309	6053217	25.5563333198
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	1387769	0.1387769	8356598	23.1046840333
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	1200706	0.1200706	8574808	19.558197124
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	1094420	0.109442	6827904	22.3300930786
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	1369013	0.1369013	9658952	19.7827999631
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	825868	0.0825868	5300243	21.7335337403
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	1066822	0.1066822	6978000	21.3206559006
mm10_stomach_embryo_d14.5_PE_bio1_ENCLB880WNY_1	679837	0.0679837	3599069	26.2573963007
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	1383130	0.138313	7805866	24.6237095422
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	1411549	0.1411549	8169242	24.0210472396
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	1530466	0.1530466	9137641	23.29151898
mm10_stomach_embryo_d14.5_PE_bio2_ENCLB322JPD_1	1067713	0.1067713	6563406	22.6578661128
mm10_liver_embryo_d14.5_PE_bio2_ENCLB555EYH_1	3181691	0.3181691	10453998	41.8962503465
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	1491516	0.1491516	10199665	20.3905734352
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	3095993	0.3095993	17846270	24.0296829139
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	1401788	0.1401788	9748469	20.0625038357
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	1383404	0.1383404	9457346	20.4024517471
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	1702552	0.1702552	10828892	21.8806887595
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	2563685	0.2563685	15701037	22.6639441625
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	1385330	0.138533	9370336	20.6158975752
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	1423253	0.1423253	9678890	20.5054012078
