name	unique_mapped_reads	unique_chrM	ratio
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	42735187	1739748	.0407
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	41950396	2586905	.0616
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	39892521	1609735	.0403
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	41671318	1255777	.0301
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	40023928	2730404	.0682
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	42419895	2242919	.0528
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	28655248	802833	.0280
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	39664818	1857922	.0468
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	34533848	2399978	.0694
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	42699479	3236443	.0757
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	35029567	3254280	.0929
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	34684686	2879644	.0830
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	38882460	2467668	.0634
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	33902845	2191516	.0646
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	68757933	3689998	.0536
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	37885873	2559605	.0675
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	41382639	1683582	.0406
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	42061841	1881229	.0447
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	34913489	2352512	.0673
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	33524222	1873038	.0558
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	39513192	2114569	.0535
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	47902342	2293440	.0478
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	36053467	1207929	.0335
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	70701654	7935562	.1122
mm10_intestine_embryo_d14.5_PE_bio1_ENCLB069VWJ_1	25956442	1367975	.0527
mm10_intestine_embryo_d14.5_PE_bio2_ENCLB325XDP_1	34131453	2008320	.0588
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	49250484	2670663	.0542
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	47163023	3371310	.0714
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	48894932	5129128	.1049
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	47293717	5485997	.1159
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	40607274	3955546	.0974
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	36297122	5015654	.1381
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	33036148	2883952	.0872
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	39224294	3744079	.0954
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	35600252	3856016	.1083
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	30109028	1920384	.0637
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	29557972	3604443	.1219
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	56293188	6871672	.1220
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	54708666	10128766	.1851
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	39508986	7949162	.2011
mm10_liver_embryo_d14.5_PE_bio1_ENCLB200ODB_1	26963225	6333446	.2348
mm10_liver_embryo_d14.5_PE_bio2_ENCLB555EYH_1	59178093	12848421	.2171
