file	total	useful	useful_ratio	single_end
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	53521173	39036508	.729	78072997
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	52841837	38019803	.719	76039584
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	49568333	36815643	.742	73631267
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	52179809	37906004	.726	75811992
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	49691764	35677263	.717	71354502
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	51407232	38477527	.748	76955036
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	35924683	25635695	.713	51271384
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	48416233	35559944	.734	71119870
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	43503968	30464371	.700	60928721
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	53935170	35958778	.666	71917540
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	43919645	29979800	.682	59959582
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	42278369	29484004	.697	58967990
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	47548519	34674162	.729	69348309
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	41466599	28325095	.683	56650176
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	86375299	59958040	.694	119916058
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	48785458	33381304	.684	66762590
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	52082703	37651976	.722	75303937
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	53078621	37981895	.715	75963777
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	44189469	31201005	.706	62401996
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	42364518	30130906	.711	60261802
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	44562754	35589716	.798	71179418
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	53140917	42503912	.799	85007811
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	40755321	32703794	.802	65407576
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	83791512	56708509	.676	113416993
mm10_intestine_embryo_d14.5_PE_bio1_ENCLB069VWJ_1	33110618	23005136	.694	46010256
mm10_intestine_embryo_d14.5_PE_bio2_ENCLB325XDP_1	40555435	30567582	.753	61135149
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	57818671	43779532	.757	87559046
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	55554407	41399704	.745	82799386
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	58056975	42042839	.724	84085653
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	56463898	39988984	.708	79977946
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	49454428	33428054	.675	66856082
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	44646781	29283812	.655	58567596
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	42044382	29435350	.700	58870676
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	49443834	33940569	.686	67881110
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	46776162	31307038	.669	62614046
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	38328988	27068104	.706	54136192
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	38505907	25512900	.662	51025761
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	68272995	45636363	.668	91272690
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	66315169	41500628	.625	83001227
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	48348502	29029398	.600	58058773
mm10_liver_embryo_d14.5_PE_bio1_ENCLB200ODB_1	33172338	18086626	.545	36173232
mm10_liver_embryo_d14.5_PE_bio2_ENCLB555EYH_1	75813558	41661882	.549	83323736
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	70091736	38770759	.553	77541490
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	54588699	27940425	.511	55880822
mm10_lung_embryo_d14.5_PE_bio1_ENCLB517ADM_1	50888369	35156355	.690	70312684
mm10_lung_embryo_d14.5_PE_bio2_ENCLB224FWZ_1	27279932	19055984	.698	38111952
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	64152873	41956630	.654	83913231
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	51902255	34186583	.658	68373138
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	74018175	55540864	.750	111081698
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	53219421	39153186	.735	78306355
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	55307973	40912692	.739	81825369
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	51449827	38416307	.746	76832600
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	60200454	38786742	.644	77573468
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	43550852	29167169	.669	58334318
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	52300091	35224529	.673	70449044
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	37376936	23533183	.629	47066354
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	47681374	29174743	.611	58349475
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	42220415	25556012	.605	51112013
mm10_stomach_embryo_d14.5_PE_bio1_ENCLB880WNY_1	23793505	18018901	.757	36037787
mm10_stomach_embryo_d14.5_PE_bio2_ENCLB322JPD_1	33450811	25352637	.757	50705257
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	63001963	48229642	.765	96459260
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	55360933	38802095	.700	77604165
