file	total	written_reads	mapped	mapped_ratio	uniq_mapped	non-redundant_uniq_mapped	effect_ratio	fastqc_dedup	after_align_dedup	number_of_reads_under_peak	rup_ratio	sub10M_enrichment	coding_enrichment	bg_gt37_percentage
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	53521173	53366080	47920459	.89	42735187	39036508	.72	0.823695	.933	11281144	14.57	18.514658065	10.123	18.85
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	52841837	52714130	47369968	.89	41950396	38019803	.71	0.810575	.940	10672301	14.15	20.0159122437	10.394	19.20
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	49568333	49448366	44228192	.89	39892521	36815643	.74	0.830295	.942	13524317	18.53	18.6426412146	12.241	15.36
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	52179809	52029862	46657199	.89	41671318	37906004	.72	0.831185	.923	8212790	10.92	18.7265675424	8.389	23.98
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	49691764	49581010	44034057	.88	40023928	35677263	.71	0.796115	.929	14761513	20.89	20.6158975752	13.840	6.46
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	51407232	51280415	46614963	.90	42419895	38477527	.74	0.80507	.935	17677104	23.20	19.4813752802	14.409	7.70
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	35924683	35840049	31278350	.87	28655248	25635695	.71	0.817295	.904	10291007	20.28	19.2564523917	13.675	13.71
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	48416233	48321137	42882163	.88	39664818	35559944	.73	0.787215	.919	20366977	28.95	19.784481234	16.887	3.01
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	43503968	43425475	37997816	.87	34533848	30464371	.70	0.783475	.919	12703567	21.06	21.1248016047	14.220	7.26
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	53935170	53843654	47256646	.87	42699479	35958778	.66	0.74601	.883	15555232	21.83	20.0625038357	13.917	5.74
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	43919645	43828576	38568058	.87	35029567	29979800	.68	0.74645	.908	16218649	27.34	21.7994726456	17.591	2.63
