	mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1_read	mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1_peak	mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1_ratio	mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1_read	mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1_peak	mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1_ratio	mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1_read	mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1_peak	mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1_ratio	mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1_read	mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1_peak	mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1_ratio	mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1_read	mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1_peak	mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1_ratio	mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1_read	mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1_peak	mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1_ratio	mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1_read	mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1_peak	mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1_ratio	mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1_read	mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1_peak	mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1_ratio	mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1_read	mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1_peak	mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1_ratio	mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1_read	mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1_peak	mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1_ratio	mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1_read	mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1_peak	mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1_ratio	mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1_read	mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1_peak	mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1_ratio	mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1_read	mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1_peak	mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1_ratio	mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1_read	mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1_peak	mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1_ratio	mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1_read	mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1_peak	mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1_ratio	mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1_read	mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1_peak	mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1_ratio	mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1_read	mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1_peak	mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1_ratio	mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1_read	mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1_peak	mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1_ratio	mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1_read	mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1_peak	mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1_ratio	mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1_read	mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1_peak	mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1_ratio	mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1_read	mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1_peak	mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1_ratio	mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1_read	mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1_peak	mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1_ratio	mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1_read	mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1_peak	mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1_ratio	mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1_read	mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1_peak	mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1_ratio	mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1_read	mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1_peak	mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1_ratio	mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1_read	mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1_peak	mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1_ratio	mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1_read	mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1_peak	mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1_ratio	mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1_read	mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1_peak	mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1_ratio	mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1_read	mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1_peak	mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1_ratio	mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1_read	mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1_peak	mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1_ratio	mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1_read	mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1_peak	mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1_ratio	mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1_read	mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1_peak	mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1_ratio	mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1_read	mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1_peak	mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1_ratio	mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1_read	mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1_peak	mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1_ratio	mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1_read	mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1_peak	mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1_ratio	mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1_read	mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1_peak	mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1_ratio	mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1_read	mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1_peak	mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1_ratio	mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1_read	mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1_peak	mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1_ratio	mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1_read	mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1_peak	mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1_ratio	mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1_read	mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1_peak	mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1_ratio	mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1_read	mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1_peak	mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1_ratio	mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1_read	mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1_peak	mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1_ratio	mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1_read	mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1_peak	mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1_ratio	mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1_read	mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1_peak	mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1_ratio	mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1_read	mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1_peak	mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1_ratio	mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1_read	mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1_peak	mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1_ratio	mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1_read	mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1_peak	mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1_ratio	mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1_read	mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1_peak	mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1_ratio	mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1_read	mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1_peak	mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1_ratio	mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1_read	mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1_peak	mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1_ratio	mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1_read	mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1_peak	mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1_ratio	mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1_read	mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1_peak	mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1_ratio	mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1_read	mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1_peak	mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1_ratio	mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1_read	mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1_peak	mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1_ratio
0	3.21	4212.0	0.05	3.15	10281.0	0.1	3.17	7435.0	0.07	3.57	9169.0	0.09	2.8	16178.0	0.12	3.79	12630.0	0.1	2.39	7607.0	0.1	3.55	23372.0	0.23	2.84	8440.0	0.09	2.8	7187.0	0.08	5.38	12493.0	0.13	3.24	20247.0	0.16	3.7	5071.0	0.06	2.68	10159.0	0.16	4.35	9751.0	0.14	2.97	7955.0	0.07	3.39	7845.0	0.08	2.24	5678.0	0.07	4.0	14466.0	0.11	2.71	11221.0	0.1	3.44	8409.0	0.08	2.47	3943.0	0.06	3.76	7648.0	0.09	3.43	9732.0	0.09	3.79	7053.0	0.08	5.82	9754.0	0.11	3.71	12792.0	0.11	3.67	6454.0	0.07	3.65	5941.0	0.06	2.73	8021.0	0.09	3.23	6585.0	0.07	3.97	12221.0	0.1	4.12	11148.0	0.1	3.71	9699.0	0.1	4.67	9100.0	0.09	3.94	9572.0	0.09	2.49	8160.0	0.08	2.99	5990.0	0.07	2.51	15177.0	0.18	3.67	10019.0	0.1	5.44	12187.0	0.11	4.22	12079.0	0.1	2.9	5569.0	0.07	3.86	14815.0	0.22	3.68	5977.0	0.06	3.45	9408.0	0.08	4.0	21838.0	0.16	2.85	11662.0	0.1	2.6	3344.0	0.03	3.73	9475.0	0.1	2.8	5306.0	0.05	3.31	23006.0	0.16	3.43	15735.0	0.12	2.92	8577.0	0.08
1	6.42	9132.0	0.15	6.31	18322.0	0.22	6.35	13733.0	0.17	7.14	16124.0	0.19	5.61	26341.0	0.23	7.59	21917.0	0.21	4.79	13747.0	0.22	7.1	33161.0	0.35	5.68	13733.0	0.19	5.6	12226.0	0.18	10.77	18945.0	0.24	6.48	32306.0	0.28	7.4	9953.0	0.17	5.36	14867.0	0.27	8.7	14939.0	0.26	5.94	15027.0	0.16	6.79	13227.0	0.18	4.48	10367.0	0.17	8.0	24807.0	0.22	5.42	19658.0	0.2	6.88	14094.0	0.17	4.94	7968.0	0.15	7.53	13321.0	0.2	6.86	17480.0	0.19	7.59	13068.0	0.18	11.65	15864.0	0.22	7.43	20327.0	0.22	7.34	12145.0	0.18	7.31	11611.0	0.17	5.47	15056.0	0.21	6.47	11924.0	0.15	7.95	20978.0	0.2	8.24	18827.0	0.2	7.42	16339.0	0.2	9.35	16837.0	0.2	7.88	16222.0	0.19	4.98	14563.0	0.19	5.99	11137.0	0.17	5.03	21990.0	0.3	7.35	17304.0	0.19	10.89	19023.0	0.21	8.45	20374.0	0.2	5.8	10400.0	0.16	7.73	19371.0	0.34	7.36	11565.0	0.17	6.9	17368.0	0.18	8.01	32370.0	0.28	5.71	20343.0	0.2	5.21	7926.0	0.11	7.46	15593.0	0.2	5.61	10839.0	0.14	6.62	36384.0	0.28	6.87	26574.0	0.24	5.84	15509.0	0.19
2	12.85	15698.0	0.32	12.63	27625.0	0.38	12.71	22030.0	0.32	14.29	25933.0	0.36	11.23	41967.0	0.41	15.18	35329.0	0.38	9.58	20534.0	0.37	14.2	43661.0	0.5	11.37	20306.0	0.33	11.21	18363.0	0.32	21.55	27939.0	0.39	12.97	45573.0	0.43	14.8	15330.0	0.32	10.72	19720.0	0.42	17.4	20614.0	0.41	11.89	24804.0	0.3	13.59	21692.0	0.33	8.97	16865.0	0.32	16.0	39998.0	0.39	10.84	32679.0	0.37	13.76	23396.0	0.32	9.88	12197.0	0.3	15.07	19619.0	0.36	13.72	27783.0	0.35	15.18	20048.0	0.34	23.3	24077.0	0.38	14.87	33107.0	0.39	14.68	18636.0	0.34	14.62	18228.0	0.32	10.94	23165.0	0.37	12.95	20909.0	0.3	15.91	32139.0	0.35	16.48	28899.0	0.35	14.85	26149.0	0.36	18.7	26350.0	0.35	15.77	24760.0	0.34	9.96	23267.0	0.35	11.98	17506.0	0.31	10.06	31639.0	0.46	14.7	29025.0	0.35	21.79	29598.0	0.36	16.9	31544.0	0.36	11.61	16497.0	0.31	15.47	25027.0	0.48	14.73	18337.0	0.32	13.81	27846.0	0.33	16.03	50645.0	0.46	11.42	33781.0	0.36	10.42	14502.0	0.24	14.92	24985.0	0.36	11.23	18339.0	0.28	13.25	50903.0	0.43	13.75	39285.0	0.4	11.68	24110.0	0.34
3	19.27	19192.0	0.44	18.95	34599.0	0.51	19.07	29222.0	0.45	21.44	30976.0	0.47	16.84	48025.0	0.51	22.77	42994.0	0.49	14.37	25227.0	0.49	21.3	52552.0	0.62	17.05	26200.0	0.45	16.81	23725.0	0.43	32.32	34039.0	0.5	19.46	56895.0	0.56	22.2	19636.0	0.45	16.08	23725.0	0.53	26.1	24152.0	0.51	17.84	33840.0	0.43	20.39	26620.0	0.44	13.46	21597.0	0.44	24.01	48474.0	0.5	16.27	38455.0	0.47	20.64	29039.0	0.43	14.82	15586.0	0.42	22.6	24904.0	0.49	20.58	36410.0	0.48	22.77	25623.0	0.47	34.95	29964.0	0.51	22.31	39347.0	0.5	22.03	23953.0	0.47	21.94	23773.0	0.45	16.42	29038.0	0.49	19.43	28605.0	0.43	23.87	41943.0	0.48	24.72	38422.0	0.48	22.28	32108.0	0.47	28.06	33265.0	0.47	23.66	32774.0	0.46	14.95	29618.0	0.48	17.97	22881.0	0.44	15.09	38113.0	0.57	22.06	36354.0	0.46	32.69	37282.0	0.47	25.35	41518.0	0.48	17.42	21719.0	0.44	23.21	30043.0	0.59	22.1	24157.0	0.45	20.71	36987.0	0.46	24.05	59116.0	0.56	17.13	40068.0	0.47	15.63	20061.0	0.36	22.39	30633.0	0.47	16.85	24718.0	0.4	19.88	63915.0	0.56	20.62	49945.0	0.53	17.53	31569.0	0.47
4	25.7	22801.0	0.54	25.27	39900.0	0.6	25.43	35275.0	0.55	28.59	36843.0	0.57	22.46	55628.0	0.6	30.37	50926.0	0.59	19.16	29056.0	0.59	28.41	55653.0	0.68	22.74	31261.0	0.54	22.42	28327.0	0.53	43.1	41333.0	0.61	25.94	65391.0	0.65	29.6	23503.0	0.55	21.44	26726.0	0.61	34.8	28077.0	0.61	23.78	41362.0	0.54	27.19	32312.0	0.54	17.94	25637.0	0.54	32.01	57308.0	0.6	21.69	45338.0	0.57	27.52	35336.0	0.53	19.76	18447.0	0.53	30.14	29457.0	0.59	27.44	40348.0	0.56	30.36	30461.0	0.57	46.6	34387.0	0.6	29.75	46742.0	0.61	29.37	28566.0	0.58	29.25	28641.0	0.56	21.89	33614.0	0.59	25.91	32500.0	0.52	31.83	49974.0	0.58	32.96	43289.0	0.56	29.71	38494.0	0.58	37.41	38095.0	0.56	31.55	39507.0	0.57	19.93	34203.0	0.58	23.96	27564.0	0.54	20.12	43038.0	0.66	29.41	43950.0	0.57	43.59	45783.0	0.58	33.81	46871.0	0.57	23.22	25845.0	0.54	30.95	32552.0	0.66	29.47	29008.0	0.56	27.62	41243.0	0.55	32.06	68411.0	0.66	22.84	47133.0	0.57	20.84	24745.0	0.46	29.85	36994.0	0.57	22.47	30294.0	0.5	26.51	73757.0	0.65	27.5	53711.0	0.61	23.37	37564.0	0.57
5	32.12	25896.0	0.64	31.59	44352.0	0.69	31.79	37356.0	0.62	35.74	41727.0	0.66	28.08	61902.0	0.68	37.96	57719.0	0.68	23.96	32393.0	0.67	35.51	60819.0	0.75	28.42	35611.0	0.63	28.02	32226.0	0.62	53.87	44693.0	0.68	32.43	71920.0	0.73	37.0	25350.0	0.63	26.8	29444.0	0.68	43.5	30228.0	0.68	29.73	47968.0	0.63	33.99	37151.0	0.63	22.43	29085.0	0.63	40.02	61164.0	0.67	27.12	51166.0	0.66	34.4	41141.0	0.62	24.7	20798.0	0.61	37.68	31232.0	0.65	34.3	46043.0	0.65	37.95	32536.0	0.64	58.25	37646.0	0.68	37.19	52731.0	0.7	36.71	30334.0	0.64	36.56	32927.0	0.65	27.36	37104.0	0.67	32.39	38073.0	0.62	39.78	53818.0	0.65	41.2	50049.0	0.66	37.14	44282.0	0.67	46.77	43638.0	0.65	39.43	42210.0	0.63	24.91	38072.0	0.66	29.95	31670.0	0.63	25.15	46568.0	0.73	36.77	50797.0	0.66	54.49	50463.0	0.65	42.26	53625.0	0.66	29.03	29782.0	0.63	38.69	35891.0	0.73	36.84	33489.0	0.65	34.52	47107.0	0.64	40.08	71810.0	0.71	28.55	52759.0	0.65	26.05	29307.0	0.56	37.31	42811.0	0.66	28.09	35082.0	0.59	33.14	81267.0	0.73	34.38	60009.0	0.69	29.22	42456.0	0.66
6	38.55	28751.0	0.72	37.91	46061.0	0.74	38.15	41334.0	0.69	42.89	46031.0	0.73	33.69	66642.0	0.75	45.55	60061.0	0.74	28.75	35024.0	0.74	42.61	65047.0	0.81	34.11	39351.0	0.7	33.63	35810.0	0.69	64.65	47194.0	0.74	38.92	77536.0	0.79	44.4	28147.0	0.71	32.16	31789.0	0.75	52.2	33568.0	0.75	35.68	53937.0	0.72	40.79	41503.0	0.71	26.92	31871.0	0.71	48.02	67274.0	0.74	32.54	60432.0	0.76	41.28	46248.0	0.7	29.64	24739.0	0.72	45.21	34537.0	0.73	41.16	50824.0	0.73	45.54	36168.0	0.72	69.9	43054.0	0.77	44.63	57813.0	0.77	44.06	33721.0	0.72	43.88	34412.0	0.71	32.84	40329.0	0.74	38.87	43127.0	0.7	47.74	59618.0	0.73	49.44	56091.0	0.74	44.57	49463.0	0.75	56.12	48899.0	0.73	47.32	47156.0	0.71	29.9	41146.0	0.74	35.94	35156.0	0.71	30.18	49608.0	0.79	44.12	53386.0	0.72	65.39	54100.0	0.71	50.71	59577.0	0.74	34.84	33184.0	0.71	46.43	38993.0	0.8	44.21	34991.0	0.71	41.43	52616.0	0.72	48.1	77950.0	0.78	34.26	57475.0	0.72	31.26	33299.0	0.64	44.78	44280.0	0.72	33.71	39569.0	0.68	39.77	87502.0	0.8	41.25	65052.0	0.76	35.06	46787.0	0.74
7	44.98	31207.0	0.79	44.23	49060.0	0.8	44.51	44953.0	0.76	50.04	49656.0	0.8	39.31	75592.0	0.84	53.14	64744.0	0.8	33.54	37306.0	0.8	49.72	68487.0	0.86	39.8	42710.0	0.77	39.23	38910.0	0.76	75.42	52385.0	0.81	45.4	82089.0	0.85	51.81	30820.0	0.78	37.52	33858.0	0.81	60.9	36564.0	0.82	41.62	58696.0	0.79	47.59	45446.0	0.79	31.4	36940.0	0.8	56.03	72481.0	0.81	37.97	64429.0	0.82	48.16	50862.0	0.78	34.58	26725.0	0.79	52.75	37754.0	0.8	48.02	55103.0	0.8	53.13	39441.0	0.79	81.55	45028.0	0.82	52.07	58090.0	0.81	51.4	36839.0	0.79	51.19	37586.0	0.78	38.31	42851.0	0.81	45.35	47439.0	0.77	55.7	64852.0	0.8	57.68	61596.0	0.81	51.99	50226.0	0.79	65.47	51662.0	0.79	55.21	52028.0	0.79	34.88	43531.0	0.8	41.93	38405.0	0.79	35.21	51859.0	0.83	51.48	58279.0	0.79	76.29	60394.0	0.79	59.17	61765.0	0.79	40.65	36124.0	0.78	54.17	41683.0	0.85	51.57	38208.0	0.79	48.33	57123.0	0.79	56.11	83219.0	0.84	39.97	61478.0	0.79	36.47	39879.0	0.75	52.24	48500.0	0.79	39.33	43183.0	0.75	46.4	92236.0	0.85	48.13	69551.0	0.83	40.91	50372.0	0.8
8	51.4	33473.0	0.85	50.55	54139.0	0.88	50.87	48313.0	0.83	57.19	52985.0	0.86	44.93	78726.0	0.89	60.74	69063.0	0.87	38.33	39151.0	0.85	56.82	71575.0	0.91	45.48	45614.0	0.83	44.84	41695.0	0.82	86.2	57484.0	0.88	51.89	85815.0	0.9	59.21	33367.0	0.85	42.88	37547.0	0.88	69.6	37393.0	0.86	47.57	63085.0	0.85	54.39	49063.0	0.85	35.89	39103.0	0.86	64.03	76994.0	0.87	43.39	67801.0	0.88	55.04	55028.0	0.85	39.52	28657.0	0.85	60.28	40600.0	0.86	54.88	58774.0	0.86	60.72	42515.0	0.86	93.2	46845.0	0.87	59.51	62116.0	0.87	58.75	39663.0	0.86	58.5	40566.0	0.85	43.79	44957.0	0.86	51.83	51656.0	0.84	63.66	69419.0	0.86	65.92	62408.0	0.85	59.42	54330.0	0.86	74.83	56242.0	0.86	63.1	56276.0	0.85	39.87	45685.0	0.85	47.92	41223.0	0.85	40.25	53831.0	0.88	58.83	62862.0	0.86	87.19	62763.0	0.84	67.62	66132.0	0.86	46.45	38926.0	0.85	61.91	44324.0	0.9	58.94	41171.0	0.85	55.24	61109.0	0.86	64.13	87887.0	0.89	45.68	69132.0	0.87	41.68	43649.0	0.82	59.7	52400.0	0.85	44.95	46612.0	0.81	53.03	96404.0	0.9	55.0	73310.0	0.88	46.75	53315.0	0.87
9	57.83	35614.0	0.92	56.87	56578.0	0.93	57.22	54502.0	0.92	64.34	55976.0	0.92	50.54	81529.0	0.93	68.33	72953.0	0.92	43.12	43437.0	0.93	63.92	74041.0	0.95	51.17	48067.0	0.89	50.44	47386.0	0.91	96.97	58404.0	0.92	58.38	88891.0	0.94	66.61	35801.0	0.91	48.24	39399.0	0.93	78.3	40050.0	0.92	53.52	66729.0	0.92	61.18	52188.0	0.91	40.38	40854.0	0.92	72.04	81218.0	0.93	48.82	70536.0	0.93	61.92	58965.0	0.91	44.46	30229.0	0.91	67.82	43257.0	0.92	61.74	61967.0	0.92	68.31	45162.0	0.92	104.86	51195.0	0.93	66.95	65403.0	0.93	66.09	42328.0	0.92	65.82	43368.0	0.91	49.26	49088.0	0.93	58.31	55297.0	0.91	71.61	73246.0	0.92	74.16	66867.0	0.91	66.85	57894.0	0.92	84.18	60743.0	0.92	70.98	60057.0	0.91	44.85	47249.0	0.9	53.91	43723.0	0.91	45.28	55473.0	0.92	66.18	66898.0	0.92	98.09	68101.0	0.91	76.07	70108.0	0.92	52.26	41310.0	0.91	69.65	46589.0	0.95	66.31	43811.0	0.91	62.15	64801.0	0.92	72.15	91831.0	0.94	51.39	72149.0	0.93	46.89	46980.0	0.9	67.17	55886.0	0.92	50.57	53453.0	0.91	59.66	99892.0	0.94	61.88	76671.0	0.93	52.6	56074.0	0.92
