name	total_unique	unique_chrM	ratio
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	42735187	1739748	0.0407099657713
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	41950396	2586905	0.0616658064444
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	39892521	1609735	0.0403517992759
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	41671318	1255777	0.030135283938
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	40023928	2730404	0.06821929122
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	42419895	2242919	0.052874223286
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	28655248	802833	0.0280169621983
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	39664818	1857922	0.0468405527538
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	34533848	2399978	0.0694963966946
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	42699479	3236443	0.0757958428486
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	35029567	3254280	0.0929009485044
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	34684686	2879644	0.0830234991892
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	38882460	2467668	0.06346481164
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	33902845	2191516	0.0646410647838
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	68757933	3689998	0.0536665056525
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	37885873	2559605	0.0675609349163
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	41382639	1683582	0.0406832923343
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	42061841	1881229	0.044725312903
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	34913489	2352512	0.0673811775157
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	33524222	1873038	0.0558711847213
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	39513192	2114569	0.0535155195763
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	47902342	2293440	0.0478774085827
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	36053467	1207929	0.0335038236406
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	70701654	7935562	0.112240118173
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	49250484	2670663	0.054226126996
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	47163023	3371310	0.0714820591547
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	48894932	5129128	0.104901015099
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	47293717	5485997	0.115998431673
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	40607274	3955546	0.097409789192
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	36297122	5015654	0.138183242187
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	33036148	2883952	0.0872968603967
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	39224294	3744079	0.0954530628391
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	35600252	3856016	0.108314289461
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	30109028	1920384	0.0637810028275
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	29557972	3604443	0.121944868207
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	56293188	6871672	0.12206933457
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	54708666	10128766	0.185140065378
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	39508986	7949162	0.201198836133
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	54922006	11637167	0.211885323344
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	41772155	10221941	0.244707054257
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	48755445	4117253	0.0844470397101
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	39678224	3761562	0.0948016725749
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	62946399	3441419	0.0546722140531
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	44506281	3227532	0.0725185732773
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	46848675	2986291	0.0637433395928
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	43877034	2275788	0.051867407446
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	43882564	2851570	0.0649818456369
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	31955516	1886712	0.0590418255177
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	38963822	2106010	0.0540503957748
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	26790046	1985411	0.0741100257909
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	34708253	799695	0.0230404855007
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	30315764	1334846	0.0440314154708
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	53112472	2638345	0.0496746790471
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	44697651	5290902	0.118370918418
