name	total_reads	coverage	reads_under_peak	all_peak_enrichment
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	84533263	40321325	18014935	18.071
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	54738259	23187487	8268976	20.779
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	47921116	20813016	7531003	24.278
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	73543723	30763325	12463868	17.910
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	80049051	45157097	20096948	19.936
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	75361184	26434467	9978365	15.613
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	49404678	17322052	5020231	17.718
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	74397580	39115625	15947809	18.776
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	77393198	23403822	18703802	36.867
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	68760704	44854136	18834750	22.591
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	64798106	28766654	9158417	15.461
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	80169462	42921877	23049954	25.271
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	58071934	25336269	8176337	17.498
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	78875250	37097589	14435791	16.266
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	93540159	28376267	12607888	14.836
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	63198749	28603386	11681458	21.421
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	52101590	23265179	5929476	14.945
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	56193388	27213084	7742761	15.877
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	87008110	21270266	10730514	17.920
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	74634352	34421265	14822352	19.413
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	79576401	41054008	17054928	17.872
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	66292384	48983784	24926840	32.992
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	69056226	38323330	13473224	17.030
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	82410616	38364889	16525586	17.603
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	75928244	40779118	17386874	19.592
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	56162604	42999750	17550145	28.411
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	68602227	35162077	12796830	17.580
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	59469286	33711393	10534239	17.223
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	53610034	20580145	10522232	32.160
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	56053554	28385817	9985987	20.637
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	107752617	37500745	18984054	15.359
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	74283686	36336123	14406726	17.842
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	71489377	33484252	12265101	16.682
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	71033291	37492836	29572753	51.239
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	44867002	23542795	7290002	22.309
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	74015577	21100985	7065600	13.552
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	116511208	32541374	15169277	12.411
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	50313373	28519098	15697621	42.970
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	49837858	29521730	9432387	21.360
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	64867173	41526394	20696538	30.344
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	108997685	38430516	18636859	14.449
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	57103147	39528272	14096158	22.316
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	63587821	29379295	9593749	16.338
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	59909330	26699623	8645913	17.081
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	75902691	27593642	9811438	14.543
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	73438450	25184043	8774097	14.577
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	56859059	29876033	11093892	21.915
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	73135366	26795536	9084049	14.312
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	68804383	33695886	12230668	17.304
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	64258995	22080535	6629860	14.113
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	73684672	27598570	9307498	14.161
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	58449714	31931372	10926114	19.432
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	54247412	34952918	12577431	23.280
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	67988247	31649093	11925204	18.141
