file	lt_0.15	lt_0.3	gt_0.3
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	57.19	79.06	20.93
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	37.33	63.35	36.64
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	64.26	88.04	11.95
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	49.04	77.77	22.22
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	57.55	89.40	10.59
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	84.79	96.06	3.93
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	55.23	85.65	14.34
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	54.90	75.99	24.01
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	45.35	70.35	29.64
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	51.48	82.81	17.18
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	47.53	74.99	25.00
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	45.56	80.69	19.30
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	39.32	62.10	37.90
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	45.70	79.48	20.51
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	44.80	68.23	31.76
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	45.76	82.18	17.81
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	46.70	70.85	29.14
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	66.88	87.23	12.76
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	45.66	76.34	23.65
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	67.04	89.39	10.60
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	67.06	92.88	7.11
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	69.69	89.14	10.85
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	49.97	78.04	21.95
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	54.97	78.92	21.07
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	53.38	78.38	21.61
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	62.66	85.23	14.76
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	52.09	77.06	22.94
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	68.09	90.81	9.18
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	52.95	85.42	14.57
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	43.71	68.29	31.70
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	44.63	75.09	24.90
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	62.84	87.89	12.10
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	46.36	70.53	29.46
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	63.68	85.82	14.17
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	66.44	88.46	11.53
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	42.12	72.94	27.05
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	64.61	91.97	8.02
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	63.40	84.05	15.94
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	54.72	85.98	14.01
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	33.35	67.30	32.69
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	76.36	93.18	6.81
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	53.20	81.33	18.67
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	79.26	95.46	4.53
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	78.35	93.02	6.98
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	57.09	80.75	19.24
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	56.30	83.09	16.91
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	43.30	70.65	29.34
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	68.21	88.47	11.52
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	39.77	67.98	32.01
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	57.39	88.11	11.89
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	50.32	75.14	24.85
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	56.69	85.37	14.63
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	49.85	73.32	26.67
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	55.62	81.25	18.74
