file	total	mapped	mapped_ratio	uniq_mapped	non-redundant_uniq_mapped	effect_ratio	useful_reads	PBC	nodup_ratio	number_of_reads_under_peak	rup_ratio	replicate_dif	marker
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	53521173	43153580	.80	42735187	39045290	.72	38286495	.12	.91	9811438	12.92	-3.34	ENCODE_PE
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	52841837	42352477	.80	41950396	38027740	.71	37046058	.13	.90	8774097	11.94	-3.56	ENCODE_PE
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	49568333	40229473	.81	39892521	36822477	.74	36092973	.15	.92	12265101	17.15	-3.75	ENCODE_PE
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	52179809	42084338	.80	41671318	37914795	.72	37322817	.11	.90	7065600	9.54	-3.25	ENCODE_PE
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	49691764	40291437	.81	40023928	35681662	.71	34664807	.17	.89	12796830	18.65	-4.84	ENCODE_PE
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	51407232	42716896	.83	42419895	38482560	.74	37588382	.16	.90	15947809	21.43	-3.98	ENCODE_PE
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	35924683	28866333	.80	28655248	25640256	.71	25198225	.24	.89	9432387	18.92	-3.84	ENCODE_PE
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	48416233	39886059	.82	39664818	35563680	.73	34770694	.20	.89	18834750	27.39	-4.08	ENCODE_PE
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	43503968	34766414	.79	34533848	30468442	.70	29541806	.21	.88	10926114	18.69	-4.28	ENCODE_PE
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	53935170	43002187	.79	42699479	35964313	.66	34877663	.17	.84	13473224	19.51	-4.89	ENCODE_PE
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	43919645	35234920	.80	35029567	29983078	.68	28883250	.24	.85	14096158	24.68	-4.57	ENCODE_PE
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	42278369	34848824	.82	34684686	29486250	.69	28465741	.26	.85	17550145	31.24	-5.45	ENCODE_PE
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	47548519	39069214	.82	38882460	34677104	.72	33727855	.25	.89	24926840	37.60	-5.02	ENCODE_PE
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	41466599	34125943	.82	33902845	28328824	.68	27478975	.23	.83	12577431	23.18	-3.50	ENCODE_PE
