file	total_reads	rupn	rup	peak_length	enrichment
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL.result	75332092	9696695	.128	27322437	55.01
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK.result	72982207	8687350	.119	24976971	53.40
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR.result	71027036	12146584	.171	33236845	59.45
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC.result	73423085	6976648	.095	20879460	50.02
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW.result	68048651	12646065	.185	34857973	60.00
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE.result	73870929	15782166	.213	38820041	69.52
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC.result	49286965	9289120	.188	29198875	52.91
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN.result	68180473	18615202	.273	44497697	77.29
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD.result	57925249	10924951	.188	33129994	54.77
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF.result	68215716	13224768	.193	37744385	58.46
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE.result	56578028	13914934	.245	39171221	63.31
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH.result	55547264	17287396	.311	42527959	79.28
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW.result	65839703	24697007	.375	48717974	108.76
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK.result	53450778	12316201	.230	34405163	62.67
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH.result	114931323	15045060	.130	33298795	70.04
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR.result	63680705	6535977	.102	21837465	45.14
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ.result	72384210	8944392	.123	26498134	52.04
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV.result	73123730	9195929	.125	27322900	51.98
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ.result	59334854	8516058	.143	26379794	50.93
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX.result	57615727	8076330	.140	25086080	50.63
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC.result	68373537	12111685	.177	33420111	59.38
