file	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	45.45	38.84	35.12	32.22	30.57	28.51	27.27	26.03	25.20	23.96	23.13	22.31	21.89	21.07	20.65	20.24	19.83	19.42	19.00	18.59
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	46.03	38.85	35.05	32.09	29.98	28.29	27.02	25.76	24.49	23.64	22.80	21.96	21.53	20.69	20.27	19.84	19.42	19.00	18.58	18.15
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	60.86	51.18	46.11	42.42	39.65	37.34	35.50	33.66	32.27	30.89	29.97	29.04	28.12	27.20	26.28	25.82	24.89	24.43	23.97	23.51
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	36.30	31.81	28.96	26.92	25.28	24.06	22.84	21.61	20.80	19.98	19.57	18.76	18.35	17.94	17.53	17.13	16.72	16.31	16.31	15.90
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	76.33	62.63	55.29	49.91	46.48	43.06	40.61	38.65	36.70	35.23	33.76	32.29	31.31	30.34	29.36	28.87	27.89	27.40	26.91	26.42
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	81.29	67.74	60.27	55.13	50.92	47.65	44.85	42.51	40.64	38.77	37.37	35.97	35.04	33.63	32.70	31.77	31.30	30.36	29.43	28.96
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	74.34	63.53	57.44	52.71	49.33	46.63	43.93	41.90	40.55	38.52	37.17	35.82	34.46	33.79	33.11	31.76	31.08	30.41	29.73	29.06
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	108.30	90.25	79.85	72.74	67.27	63.45	59.62	56.88	54.15	51.41	49.77	47.58	45.94	44.85	43.21	42.11	41.02	39.92	38.83	38.28
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	80.44	66.08	58.03	52.86	48.84	45.97	43.09	40.79	39.07	37.35	35.62	34.47	33.32	32.17	31.03	30.45	29.88	29.30	28.15	27.58
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	71.24	58.95	52.07	47.65	44.21	41.27	38.81	36.84	35.37	33.90	32.42	31.44	30.46	29.47	28.49	28.00	27.02	26.53	26.03	25.54
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	110.48	90.16	78.73	71.11	65.40	60.95	57.14	53.97	51.43	48.89	46.98	45.71	43.81	42.54	41.27	40.00	38.73	38.09	36.82	36.19
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	157.71	129.42	113.16	101.84	93.35	86.99	81.33	77.09	72.84	69.31	66.48	64.35	61.53	59.40	57.99	55.87	54.45	53.04	51.62	50.21
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	226.44	184.19	159.76	143.25	131.37	121.47	113.55	106.28	100.34	95.72	91.10	87.14	83.84	80.54	77.90	75.26	73.28	71.29	69.31	67.33
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	117.96	95.68	82.57	74.05	68.15	63.56	59.63	55.70	53.08	51.11	48.49	46.53	45.21	43.90	42.59	41.28	39.97	39.32	38.66	37.35
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	43.38	36.37	32.60	29.91	28.02	26.13	24.79	23.71	22.63	21.82	21.01	20.21	19.67	18.86	18.59	18.05	17.51	17.24	16.97	16.43
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	42.17	35.06	31.27	28.90	27.01	25.11	24.16	22.74	21.79	20.85	20.37	19.90	18.95	18.48	18.00	18.00	17.53	17.05	16.58	16.58
