file	total	useful	useful_ratio	single_end
mm10_forebrain_embryo_d11.5_PE_bio1_ENCLB512IZL_1	53521173	38286495	.715	75902691
mm10_forebrain_embryo_d11.5_PE_bio2_ENCLB477WAK_1	52841837	37046058	.701	73438450
mm10_forebrain_embryo_d12.5_PE_bio1_ENCLB949MHR_1	49568333	36092973	.728	71489377
mm10_forebrain_embryo_d12.5_PE_bio2_ENCLB124JXC_1	52179809	37322817	.715	74015577
mm10_forebrain_embryo_d13.5_PE_bio1_ENCLB429FVW_1	49691764	34664807	.697	68602227
mm10_forebrain_embryo_d13.5_PE_bio2_ENCLB589ZDE_1	51407232	37588382	.731	74397580
mm10_forebrain_embryo_d14.5_PE_bio1_ENCLB252ZLC_1	35924683	25198225	.701	49837858
mm10_forebrain_embryo_d14.5_PE_bio2_ENCLB312MJN_1	48416233	34770694	.718	68760704
mm10_forebrain_embryo_d15.5_PE_bio1_ENCLB476DGD_1	43503968	29541806	.679	58449714
mm10_forebrain_embryo_d15.5_PE_bio2_ENCLB997YQF_1	53935170	34877663	.646	69056226
mm10_forebrain_embryo_d16.5_PE_bio1_ENCLB194THE_1	43919645	28883250	.657	57103147
mm10_forebrain_embryo_d16.5_PE_bio2_ENCLB055ONH_1	42278369	28465741	.673	56162604
mm10_forebrain_postnatal_d0_PE_bio1_ENCLB042MOW_1	47548519	33727855	.709	66292384
mm10_forebrain_postnatal_d0_PE_bio2_ENCLB558DNK_1	41466599	27478975	.662	54247412
mm10_hindbrain_embryo_d11.5_PE_bio1_ENCLB044YJH_1	86375299	58755388	.680	116511208
mm10_hindbrain_embryo_d11.5_PE_bio2_ENCLB819YMR_1	48785458	32416527	.664	64258995
mm10_hindbrain_embryo_d12.5_PE_bio1_ENCLB264QMJ_1	52082703	36901151	.708	73135366
mm10_hindbrain_embryo_d12.5_PE_bio2_ENCLB790VLV_1	53078621	37180635	.700	73684672
mm10_hindbrain_embryo_d13.5_PE_bio1_ENCLB079ZQQ_1	44189469	30266809	.684	59909330
mm10_hindbrain_embryo_d13.5_PE_bio2_ENCLB558GZX_1	42364518	29333834	.692	58071934
mm10_hindbrain_embryo_d16.5_PE_bio1_ENCLB383AFC_1	44562754	34757288	.779	68804383
mm10_hindbrain_embryo_d16.5_PE_bio2_ENCLB478RAK_1	53140917	41636024	.783	82410616
mm10_hindbrain_postnatal_d0_PE_bio1_ENCLB625SZP_1	40755321	32125668	.788	63587821
mm10_hindbrain_postnatal_d0_PE_bio2_ENCLB962LKQ_1	83791512	55044789	.656	108997685
mm10_intestine_embryo_d15.5_PE_bio1_ENCLB298CHP_1	57818671	42760103	.739	84533263
mm10_intestine_embryo_d15.5_PE_bio2_ENCLB594LAJ_1	55554407	40230869	.724	79576401
mm10_intestine_embryo_d16.5_PE_bio1_ENCLB448PET_1	58056975	40522060	.697	80049051
mm10_intestine_embryo_d16.5_PE_bio2_ENCLB539OPC_1	56463898	38435636	.680	75928244
mm10_intestine_postnatal_d0_PE_bio1_ENCLB362STB_1	49454428	32166278	.650	63198749
mm10_intestine_postnatal_d0_PE_bio2_ENCLB199HRA_1	44646781	27815290	.623	54738259
mm10_kidney_embryo_15.5_PE_bio1_ENCLB874ZPR_1	42044382	28378416	.674	56193388
mm10_kidney_embryo_15.5_PE_bio2_ENCLB024QLK_1	49443834	32719716	.661	64798106
mm10_kidney_embryo_16.5_PE_bio1_ENCLB553FWL_1	46776162	30043062	.642	59469286
mm10_kidney_embryo_16.5_PE_bio2_ENCLB698MZX_1	38328988	26312423	.686	52101590
mm10_liver_embryo_d11.5_PE_bio1_ENCLB441LCB_1	38505907	24306856	.631	47921116
mm10_liver_embryo_d11.5_PE_bio2_ENCLB479OGV_1	68272995	44010683	.644	87008110
mm10_liver_embryo_d12.5_PE_bio1_ENCLB774WKA_1	66315169	39473948	.595	77393198
mm10_liver_embryo_d12.5_PE_bio2_ENCLB090ADG_1	48348502	27272072	.564	53610034
mm10_liver_postnatal_d0_PE_bio1_ENCLB303HHQ_1	70091736	36609405	.522	71033291
mm10_liver_postnatal_d0_PE_bio2_ENCLB282VPH_1	54588699	25903651	.474	50313373
mm10_lung_postnatal_PE_bio1_ENCLB080OEI_1	64152873	40664816	.633	80169462
mm10_lung_postnatal_PE_bio2_ENCLB071NVJ_1	51902255	32947384	.634	64867173
mm10_midbrain_embryo_d11.5_PE_bio1_ENCLB534QZD_1	74018175	54382844	.734	107752617
mm10_midbrain_embryo_d11.5_PE_bio2_ENCLB664GGY_1	53219421	38030358	.714	75361184
mm10_midbrain_embryo_d13.5_PE_bio1_ENCLB091EMS_1	55307973	39852634	.720	78875250
mm10_midbrain_embryo_d13.5_PE_bio2_ENCLB849TXF_1	51449827	37534831	.729	74283686
mm10_midbrain_embryo_d15.5_PE_bio1_ENCLB738SGH_1	60200454	37743991	.626	74634352
mm10_midbrain_embryo_d15.5_PE_bio2_ENCLB782TSA_1	43550852	28338484	.650	56053554
mm10_midbrain_embryo_d16.5_PE_bio1_ENCLB277UUA_1	52300091	34346943	.656	67988247
mm10_midbrain_embryo_d16.5_PE_bio2_ENCLB488AGB_1	37376936	22692393	.607	44867002
mm10_neural_tube_embryo_PE_bio1_ENCLB448BWJ_1	47681374	28743118	.602	56859059
mm10_neural_tube_embryo_PE_bio2_ENCLB671DSC_1	42220415	24922769	.590	49404678
mm10_stomach_postnatal_PE_bio1_ENCLB490MGZ_1	63001963	47262669	.750	93540159
mm10_stomach_postnatal_PE_bio2_ENCLB105JML_1	55360933	37207731	.672	73543723
